OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Toronto Raptors,0022500319,1610612757,Portland,Trail Blazers,POR,blazers,148:47,25,51,0.49,13,28,0.464,16,26,0.615,9,22,31,19,3,3,11,13,79,Starters,567.3,113.5,593.1,118.6,-25.8,-5.2,0.561,1.53,16.4,0.271,0.708,0.49,14.423,14.4,0.584,0.608,1.0,0.966,20.6,103.0,85.83,104.0,0.472,22025,1610612757,POR,Portland Trail Blazers,0022500319,2025-12-02,POR @ TOR,L,240,118,41,83,0.494,15,40,0.375,21,32,0.656,9,30,39,23,7,7,15,21,-3.0
Cleveland Cavaliers,0022500324,1610612757,Portland,Trail Blazers,POR,blazers,155:05,21,46,0.457,8,21,0.381,26,29,0.897,7,29,36,20,1,3,9,15,76,Starters,604.0,120.8,534.0,106.8,70.0,14.0,0.73,2.08,19.1,0.255,0.772,0.528,12.871,12.9,0.518,0.597,1.0,0.982,20.4,102.0,85.0,101.0,0.543,22025,1610612757,POR,Portland Trail Blazers,0022500324,2025-12-03,POR @ CLE,W,239,122,37,85,0.435,14,34,0.412,34,39,0.872,12,42,54,27,4,4,11,21,12.0
Detroit Pistons,0022500342,1610612757,Portland,Trail Blazers,POR,blazers,149:01,24,53,0.453,9,24,0.375,24,26,0.923,12,20,32,18,4,7,9,24,81,Starters,585.9,117.2,610.0,122.0,-24.1,-4.8,0.611,1.1,15.6,0.4,0.615,0.51,20.202,20.2,0.494,0.578,1.0,0.975,19.9,99.5,82.92,99.0,0.473,22025,1610612757,POR,Portland Trail Blazers,0022500342,2025-12-05,POR @ DET,L,239,116,36,85,0.424,12,37,0.324,32,35,0.914,18,30,48,22,6,8,17,35,-6.0
Memphis Grizzlies,0022500360,1610612757,Portland,Trail Blazers,POR,blazers,138:29,21,54,0.389,9,29,0.31,10,13,0.769,6,23,29,13,6,3,16,17,61,Starters,457.1,91.4,572.1,114.4,-115.0,-23.0,0.636,0.81,15.1,0.255,0.582,0.425,24.762,24.8,0.488,0.528,1.0,0.975,20.9,104.5,87.08,105.0,0.354,22025,1610612757,POR,Portland Trail Blazers,0022500360,2025-12-07,POR @ MEM,L,241,96,33,83,0.398,15,43,0.349,15,18,0.833,10,30,40,21,8,5,25,27,-23.0
New Orleans Pelicans,0022501207,1610612757,Portland,Trail Blazers,POR,blazers,146:23,26,64,0.406,9,30,0.3,14,20,0.7,7,20,27,16,4,5,10,14,75,Starters,560.7,112.1,656.0,131.2,-95.2,-19.0,0.6,1.8,17.9,0.293,0.6,0.442,14.019,14.0,0.51,0.537,1.0,1.0,21.6,108.0,90.0,107.0,0.37,22025,1610612757,POR,Portland Trail Blazers,0022501207,2025-12-11,POR @ NOP,L,242,120,45,102,0.441,14,48,0.292,16,22,0.727,13,28,41,27,5,7,15,19,-23.0
Golden State Warriors,0022501221,1610612757,Portland,Trail Blazers,POR,blazers,147:04,34,67,0.507,15,30,0.5,23,25,0.92,5,21,26,20,8,4,13,15,106,Starters,641.5,128.3,629.8,126.0,11.7,2.3,0.667,1.67,19.7,0.356,0.756,0.556,16.981,17.0,0.618,0.668,1.0,0.959,21.0,105.0,87.5,106.0,0.513,22025,1610612757,POR,Portland Trail Blazers,0022501221,2025-12-14,POR vs. GSW,W,239,136,45,89,0.506,20,39,0.513,26,29,0.897,10,33,43,30,11,4,17,21,5.0
Sacramento Kings,0022500380,1610612757,Portland,Trail Blazers,POR,blazers,187:20,42,80,0.525,13,33,0.394,20,32,0.625,11,23,34,23,2,3,15,15,117,Starters,582.6,116.5,583.3,116.7,-0.7,-0.1,0.612,1.43,17.6,0.424,0.673,0.537,18.261,18.3,0.549,0.57,1.0,0.964,20.74,103.7,86.42,115.0,0.443,22025,1610612757,POR,Portland Trail Blazers,0022500380,2025-12-18,POR vs. SAC,W,265,134,49,103,0.476,15,45,0.333,21,33,0.636,17,27,44,30,6,6,19,27,1.0
Sacramento Kings,0022500394,1610612757,Portland,Trail Blazers,POR,blazers,176:46,30,65,0.462,11,27,0.407,14,21,0.667,6,28,34,16,10,2,17,14,85,Starters,500.0,100.0,479.4,95.9,20.6,4.1,0.514,0.9,13.5,0.333,0.619,0.491,20.408,20.4,0.5,0.533,1.0,0.974,19.5,97.5,81.25,98.0,0.529,22025,1610612757,POR,Portland Trail Blazers,0022500394,2025-12-20,POR @ SAC,W,240,98,35,81,0.432,11,32,0.344,17,25,0.68,10,36,46,18,12,3,20,20,5.0
Detroit Pistons,0022500408,1610612757,Portland,Trail Blazers,POR,blazers,164:18,26,54,0.481,7,21,0.333,14,24,0.583,8,18,26,13,5,4,14,12,73,Starters,531.3,106.3,567.0,113.4,-35.8,-7.2,0.636,1.11,15.8,0.362,0.557,0.472,19.792,19.8,0.493,0.549,1.0,0.991,19.3,96.5,80.42,96.0,0.448,22025,1610612757,POR,Portland Trail Blazers,0022500408,2025-12-22,POR vs. DET,L,241,102,33,74,0.446,7,32,0.219,29,43,0.674,9,29,38,21,6,6,18,22,-8.0
Orlando Magic,0022500420,1610612757,Portland,Trail Blazers,POR,blazers,164:51,31,69,0.449,5,21,0.238,11,15,0.733,9,26,35,16,7,3,12,12,78,Starters,540.8,108.2,555.6,111.1,-14.7,-2.9,0.561,1.35,16.9,0.333,0.714,0.526,17.347,17.3,0.523,0.556,1.0,0.991,19.7,98.5,82.08,98.0,0.491,22025,1610612757,POR,Portland Trail Blazers,0022500420,2025-12-23,POR vs. ORL,L,241,106,41,87,0.471,9,32,0.281,15,19,0.789,11,34,45,23,9,7,17,22,-4.0
