OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Brooklyn Nets,22500297,1610612749,Milwaukee,Bucks,MIL,bucks,119:48,29,49,0.592,11,23,0.478,8,13,0.615,6,14,20,19,7,2,6,7,77,Starters,617.0,123.4,532.3,106.5,84.8,17.0,0.705,2.21,22.3,0.349,0.705,0.529,14.894,14.9,0.619,0.634,1.0,0.954,18.7,93.5,77.92,94.0,0.628,22025,1610612749,MIL,Milwaukee Bucks,0022500297,2025-11-29,MIL vs. BKN,W,240,116,44,84,0.524,16,39,0.41,12,17,0.706,12,31,43,31,13,2,12,16,17.0
Washington Wizards,22500311,1610612749,Milwaukee,Bucks,MIL,bucks,149:15,34,60,0.567,15,28,0.536,9,16,0.563,4,17,21,22,5,3,13,12,92,Starters,623.8,124.8,632.4,126.5,-8.6,-1.7,0.63,1.71,20.6,0.295,0.647,0.484,16.832,16.8,0.673,0.676,1.0,0.964,20.3,101.5,84.58,101.0,0.484,22025,1610612749,MIL,Milwaukee Bucks,0022500311,2025-12-01,MIL @ WAS,L,241,126,46,84,0.548,21,38,0.553,13,21,0.619,7,28,35,29,5,4,16,16,-3.0
Detroit Pistons,22500331,1610612749,Milwaukee,Bucks,MIL,bucks,136:24,25,51,0.49,10,29,0.345,18,18,1.0,0,12,12,17,5,4,10,14,78,Starters,576.5,115.3,561.9,112.4,14.7,2.9,0.7,1.75,20.1,0.295,0.644,0.495,16.327,16.3,0.567,0.619,1.0,0.955,19.5,97.5,81.25,98.0,0.552,22025,1610612749,MIL,Milwaukee Bucks,0022500331,2025-12-03,MIL vs. DET,W,240,113,40,82,0.488,13,44,0.295,20,21,0.952,8,32,40,28,6,6,15,20,4.0
Philadelphia 76ers,22500348,1610612749,Milwaukee,Bucks,MIL,bucks,139:40,16,40,0.4,6,16,0.375,19,23,0.826,4,20,24,20,6,2,9,11,57,Starters,510.1,102.0,580.0,116.0,-69.9,-14.0,0.743,1.44,19.4,0.205,0.702,0.462,18.182,18.2,0.533,0.575,1.0,0.963,19.9,99.5,82.92,99.0,0.446,22025,1610612749,MIL,Milwaukee Bucks,0022500348,2025-12-05,MIL vs. PHI,L,241,101,35,76,0.461,11,32,0.344,20,27,0.741,7,30,37,26,8,3,16,21,-15.0
Detroit Pistons,22500353,1610612749,Milwaukee,Bucks,MIL,bucks,143:44,25,51,0.49,12,25,0.48,9,13,0.692,4,14,18,14,7,2,8,16,71,Starters,583.3,116.7,639.2,127.8,-55.8,-11.2,0.649,2.0,17.8,0.283,0.56,0.417,12.5,12.5,0.536,0.571,1.0,0.991,19.3,96.5,80.42,96.0,0.427,22025,1610612749,MIL,Milwaukee Bucks,0022500353,2025-12-06,MIL @ DET,L,242,112,37,84,0.44,16,38,0.421,22,32,0.688,11,25,36,24,11,5,12,26,-12.0
Boston Celtics,22501206,1610612749,Milwaukee,Bucks,MIL,bucks,144:35,29,52,0.558,7,19,0.368,11,14,0.786,4,19,23,21,3,3,10,15,76,Starters,604.2,120.8,526.0,105.2,78.1,15.6,0.609,1.75,21.2,0.25,0.65,0.5,16.667,16.7,0.665,0.681,1.0,0.962,19.2,96.0,80.0,96.0,0.617,22025,1610612749,MIL,Milwaukee Bucks,0022501206,2025-12-11,MIL vs. BOS,W,241,116,46,79,0.582,13,29,0.448,11,14,0.786,5,35,40,28,5,5,15,24,15.0
Brooklyn Nets,22501219,1610612749,Milwaukee,Bucks,MIL,bucks,132:43,22,53,0.415,5,22,0.227,9,12,0.75,3,14,17,16,6,1,13,12,58,Starters,410.0,82.0,641.4,128.3,-231.4,-46.3,0.645,1.0,15.5,0.184,0.78,0.456,20.0,20.0,0.443,0.477,1.0,0.982,19.9,99.5,82.92,100.0,0.27,22025,1610612749,MIL,Milwaukee Bucks,0022501219,2025-12-14,MIL @ BKN,L,238,82,31,79,0.392,8,35,0.229,12,16,0.75,7,30,37,20,8,1,20,18,-45.0
Toronto Raptors,22500374,1610612749,Milwaukee,Bucks,MIL,bucks,151:31,19,49,0.388,8,23,0.348,11,13,0.846,7,12,19,19,4,1,12,14,57,Starters,541.2,108.2,572.2,114.4,-30.9,-6.2,0.658,1.56,18.7,0.255,0.646,0.453,16.495,16.5,0.542,0.577,1.0,0.982,19.4,97.0,80.83,97.0,0.466,22025,1610612749,MIL,Milwaukee Bucks,0022500374,2025-12-18,MIL vs. TOR,L,239,105,38,84,0.452,15,37,0.405,14,16,0.875,9,29,38,25,10,2,16,19,-6.0
Minnesota Timberwolves,22500400,1610612749,Milwaukee,Bucks,MIL,bucks,169:35,23,58,0.397,9,32,0.281,14,17,0.824,9,30,39,20,5,1,15,11,69,Starters,505.1,101.0,520.2,104.0,-15.2,-3.0,0.771,1.5,18.8,0.333,0.782,0.56,18.182,18.2,0.477,0.522,1.0,0.949,19.8,99.0,82.5,99.0,0.487,22025,1610612749,MIL,Milwaukee Bucks,0022500400,2025-12-21,MIL @ MIN,L,240,100,35,87,0.402,13,45,0.289,17,20,0.85,11,40,51,27,6,2,16,15,-3.0
Indiana Pacers,22500413,1610612749,Milwaukee,Bucks,MIL,bucks,157:57,24,57,0.421,5,21,0.238,14,18,0.778,5,25,30,13,4,5,10,14,67,Starters,560.6,112.1,474.7,94.9,85.9,17.2,0.476,1.33,15.5,0.222,0.782,0.53,15.152,15.2,0.573,0.6,1.0,0.982,19.8,99.0,82.5,99.0,0.599,22025,1610612749,MIL,Milwaukee Bucks,0022500413,2025-12-23,MIL @ IND,W,240,111,42,82,0.512,10,30,0.333,17,24,0.708,7,41,48,20,6,7,15,26,17.0
