OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Philadelphia 76ers,22500304,1610612737,Atlanta,Hawks,ATL,hawks,210:52,39,82,0.476,11,33,0.333,25,33,0.758,9,37,46,28,5,3,18,19,114,Starters,554.7,110.9,523.4,104.7,31.3,6.3,0.75,1.57,19.3,0.377,0.766,0.576,17.969,18.0,0.534,0.582,1.0,0.96,21.19,105.93,88.28,128.0,0.542,22025,1610612737,ATL,Atlanta Hawks,0022500304,2025-11-30,ATL @ PHI,W,288,142,48,104,0.462,15,45,0.333,31,41,0.756,14,44,58,36,10,6,21,27,8.0
Detroit Pistons,22500309,1610612737,Atlanta,Hawks,ATL,hawks,168:07,35,75,0.467,12,32,0.375,7,9,0.778,7,21,28,18,10,3,12,15,89,Starters,485.1,97.0,490.1,98.0,-5.0,-1.0,0.711,1.8,19.7,0.173,0.588,0.379,14.851,14.9,0.506,0.522,1.0,0.964,20.2,101.0,84.17,101.0,0.481,22025,1610612737,ATL,Atlanta Hawks,0022500309,2025-12-01,ATL @ DET,L,241,98,38,89,0.427,14,40,0.35,8,11,0.727,7,27,34,27,15,4,13,16,-1.0
Los Angeles Clippers,22500327,1610612737,Atlanta,Hawks,ATL,hawks,154:55,20,56,0.357,4,19,0.211,10,13,0.769,4,22,26,13,6,0,8,12,54,Starters,479.2,95.8,592.8,118.6,-113.6,-22.7,0.588,1.25,15.7,0.208,0.667,0.426,16.667,16.7,0.476,0.505,1.0,0.991,19.3,96.5,80.42,96.0,0.354,22025,1610612737,ATL,Atlanta Hawks,0022500327,2025-12-03,ATL vs. LAC,L,241,92,34,85,0.4,13,39,0.333,11,14,0.786,7,31,38,20,9,1,16,17,-23.0
Denver Nuggets,22500340,1610612737,Atlanta,Hawks,ATL,hawks,153:23,34,66,0.515,10,24,0.417,10,10,1.0,11,24,35,27,5,0,8,14,88,Starters,633.3,126.7,626.2,125.2,7.2,1.4,0.714,2.5,23.2,0.234,0.739,0.484,13.333,13.3,0.621,0.652,1.0,0.983,21.2,106.0,88.33,105.0,0.489,22025,1610612737,ATL,Atlanta Hawks,0022500340,2025-12-05,ATL vs. DEN,L,241,133,49,95,0.516,20,46,0.435,15,16,0.938,11,34,45,35,8,2,12,25,-1.0
Washington Wizards,22500351,1610612737,Atlanta,Hawks,ATL,hawks,161:47,34,72,0.472,5,25,0.2,14,14,1.0,12,24,36,28,8,3,11,10,87,Starters,642.2,128.4,574.3,114.9,67.9,13.6,0.692,2.4,22.8,0.426,0.829,0.614,14.706,14.7,0.597,0.629,1.0,0.943,20.3,101.5,84.58,102.0,0.591,22025,1610612737,ATL,Atlanta Hawks,0022500351,2025-12-06,ATL @ WAS,W,241,131,52,98,0.531,13,39,0.333,14,14,1.0,15,30,45,36,13,4,12,16,15.0
Detroit Pistons,22501210,1610612737,Atlanta,Hawks,ATL,hawks,153:01,28,61,0.459,5,22,0.227,22,26,0.846,8,21,29,22,7,5,18,14,83,Starters,532.4,106.5,669.8,134.0,-137.4,-27.5,0.718,1.4,18.4,0.347,0.7,0.506,18.519,18.5,0.524,0.583,1.0,0.968,21.4,107.0,89.17,108.0,0.392,22025,1610612737,ATL,Atlanta Hawks,0022501210,2025-12-12,ATL @ DET,L,241,115,39,85,0.459,11,36,0.306,26,31,0.839,13,24,37,28,9,8,20,18,-27.0
Philadelphia 76ers,22501217,1610612737,Atlanta,Hawks,ATL,hawks,165:39,32,80,0.4,11,22,0.5,11,14,0.786,15,28,43,27,6,5,11,14,86,Starters,582.5,116.5,562.5,112.5,20.0,4.0,0.767,1.94,20.8,0.404,0.631,0.525,16.505,16.5,0.52,0.554,1.0,0.984,20.7,103.5,86.25,103.0,0.515,22025,1610612737,ATL,Atlanta Hawks,0022501217,2025-12-14,ATL vs. PHI,W,240,120,43,99,0.434,17,33,0.515,17,21,0.81,18,39,57,33,8,6,16,23,3.0
Charlotte Hornets,22500371,1610612737,Atlanta,Hawks,ATL,hawks,147:49,32,64,0.5,4,21,0.19,14,16,0.875,6,16,22,27,6,2,11,9,82,Starters,605.8,121.2,639.4,127.9,-33.7,-6.7,0.646,2.07,20.9,0.304,0.698,0.494,14.423,14.4,0.582,0.62,1.0,0.991,20.8,104.0,86.67,104.0,0.458,22025,1610612737,ATL,Atlanta Hawks,0022500371,2025-12-18,ATL @ CHA,L,238,126,48,92,0.522,11,37,0.297,19,22,0.864,9,26,35,31,6,2,15,20,-7.0
San Antonio Spurs,22500383,1610612737,Atlanta,Hawks,ATL,hawks,150:53,25,65,0.385,7,26,0.269,12,15,0.8,8,25,33,21,5,1,14,9,69,Starters,462.3,92.5,588.8,117.8,-126.5,-25.3,0.684,1.53,17.9,0.22,0.733,0.442,16.038,16.0,0.457,0.485,1.0,0.975,21.3,106.5,88.75,106.0,0.351,22025,1610612737,ATL,Atlanta Hawks,0022500383,2025-12-19,ATL vs. SAS,L,240,98,38,94,0.404,10,40,0.25,12,16,0.75,10,33,43,26,7,1,16,14,-28.0
Chicago Bulls,22500396,1610612737,Atlanta,Hawks,ATL,hawks,164:47,41,74,0.554,16,30,0.533,21,26,0.808,6,24,30,35,3,1,7,11,119,Starters,694.4,138.9,703.7,140.7,-9.3,-1.9,0.765,3.9,24.1,0.306,0.66,0.479,9.259,9.3,0.638,0.669,1.0,0.984,21.6,108.0,90.0,108.0,0.48,22025,1610612737,ATL,Atlanta Hawks,0022500396,2025-12-21,ATL vs. CHI,L,239,150,51,98,0.52,23,47,0.489,25,32,0.781,6,29,35,39,6,7,10,25,-2.0
