OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Phoenix Suns,0022501203,1610612760,Oklahoma City,Thunder,OKC,thunder,114:35,33,49,0.673,12,19,0.632,10,11,0.909,3,20,23,18,7,4,7,6,88,Starters,657.1,131.4,427.9,85.6,229.3,45.9,0.615,2.13,22.4,0.167,0.774,0.528,14.286,14.3,0.716,0.736,1.0,0.955,20.9,104.5,87.08,105.0,0.693,22025,1610612760,OKC,Oklahoma City Thunder,0022501203,2025-12-10,OKC vs. PHX,W,242,138,52,88,0.591,22,40,0.55,12,13,0.923,6,37,43,32,14,7,14,14,49.0
San Antonio Spurs,0022501230,1610612760,Oklahoma City,Thunder,OKC,thunder,141:36,26,63,0.413,5,21,0.238,19,22,0.864,9,21,30,12,5,4,11,15,76,Starters,509.3,101.9,523.6,104.7,-14.2,-2.8,0.526,1.33,14.2,0.291,0.65,0.478,14.019,14.0,0.462,0.525,1.0,0.983,21.3,106.5,88.75,107.0,0.516,22025,1610612760,OKC,Oklahoma City Thunder,0022501230,2025-12-13,SAS @ OKC,L,240,109,38,92,0.413,9,37,0.243,24,27,0.889,14,37,51,20,13,4,14,25,-2.0
Los Angeles Clippers,0022500369,1610612760,Oklahoma City,Thunder,OKC,thunder,135:10,30,65,0.462,8,24,0.333,11,13,0.846,4,13,17,18,10,2,4,12,79,Starters,570.1,114.0,472.0,94.4,98.1,19.6,0.583,3.11,19.2,0.2,0.721,0.429,8.411,8.4,0.54,0.565,1.0,0.975,21.4,107.0,89.17,107.0,0.57,22025,1610612760,OKC,Oklahoma City Thunder,0022500369,2025-12-18,OKC vs. LAC,W,241,122,48,101,0.475,13,36,0.361,13,16,0.813,9,29,38,28,18,4,8,19,21.0
Minnesota Timberwolves,0022500385,1610612760,Oklahoma City,Thunder,OKC,thunder,149:41,25,65,0.385,8,23,0.348,20,22,0.909,6,25,31,11,4,7,10,19,78,Starters,519.4,103.9,543.7,108.7,-24.3,-4.9,0.471,1.33,11.9,0.267,0.652,0.468,11.65,11.7,0.429,0.509,1.0,0.966,20.6,103.0,85.83,103.0,0.48,22025,1610612760,OKC,Oklahoma City Thunder,0022500385,2025-12-19,OKC @ MIN,L,241,107,34,92,0.37,11,39,0.282,28,30,0.933,13,39,52,16,7,10,11,30,-5.0
Memphis Grizzlies,0022500406,1610612760,Oklahoma City,Thunder,OKC,thunder,154:10,33,64,0.516,12,26,0.462,9,10,0.9,5,21,26,13,8,4,9,8,87,Starters,566.7,113.3,490.5,98.1,76.2,15.2,0.435,1.54,14.7,0.224,0.736,0.49,12.381,12.4,0.569,0.594,1.0,0.983,21.0,105.0,87.5,105.0,0.566,22025,1610612760,OKC,Oklahoma City Thunder,0022500406,2025-12-22,OKC vs. MEM,W,239,119,46,94,0.489,15,39,0.385,12,14,0.857,9,37,46,20,14,4,13,18,16.0
San Antonio Spurs,0022500417,1610612760,Oklahoma City,Thunder,OKC,thunder,146:14,34,65,0.523,8,19,0.421,4,5,0.8,7,19,26,17,2,1,9,15,80,Starters,578.9,115.8,684.2,136.8,-105.3,-21.1,0.5,1.53,18.0,0.282,0.7,0.494,15.789,15.8,0.612,0.624,1.0,0.962,19.0,95.0,79.17,95.0,0.411,22025,1610612760,OKC,Oklahoma City Thunder,0022500417,2025-12-23,OKC @ SAS,L,239,110,46,85,0.541,12,30,0.4,6,7,0.857,9,27,36,23,5,1,13,17,-20.0
San Antonio Spurs,0022500010,1610612760,Oklahoma City,Thunder,OKC,thunder,147:47,25,56,0.446,4,17,0.235,11,18,0.611,9,27,36,18,4,3,4,14,65,Starters,520.4,104.1,609.4,121.9,-89.0,-17.8,0.622,3.29,16.3,0.317,0.767,0.5,7.143,7.1,0.447,0.481,1.0,0.958,19.4,97.0,80.83,98.0,0.426,22025,1610612760,OKC,Oklahoma City Thunder,0022500010,2025-12-25,OKC vs. SAS,L,242,102,37,95,0.389,11,44,0.25,17,25,0.68,16,32,48,23,7,6,7,18,-15.0
Philadelphia 76ers,0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,133:11,29,48,0.604,3,9,0.333,17,21,0.81,4,15,19,15,6,6,13,12,78,Starters,638.6,127.7,520.0,104.0,118.6,23.7,0.54,1.93,18.9,0.357,0.667,0.527,13.861,13.9,0.632,0.658,1.0,0.957,20.1,100.5,83.75,101.0,0.654,22025,1610612760,OKC,Oklahoma City Thunder,0022500442,2025-12-28,OKC vs. PHI,W,241,129,50,87,0.575,10,28,0.357,19,25,0.76,9,26,35,27,12,6,13,18,25.0
Atlanta Hawks,0022500455,1610612760,Oklahoma City,Thunder,OKC,thunder,155:32,40,72,0.556,10,23,0.435,16,17,0.941,7,28,35,19,5,4,10,10,106,Starters,642.2,128.4,591.7,118.3,50.5,10.1,0.509,1.93,17.9,0.333,0.778,0.576,12.844,12.8,0.602,0.647,1.0,0.976,21.8,109.0,90.83,109.0,0.559,22025,1610612760,OKC,Oklahoma City Thunder,0022500455,2025-12-29,OKC vs. ATL,W,241,140,53,98,0.541,12,32,0.375,22,23,0.957,10,39,49,27,9,7,13,18,11.0
Portland Trail Blazers,0022500470,1610612760,Oklahoma City,Thunder,OKC,thunder,130:18,28,53,0.528,7,21,0.333,9,10,0.9,2,21,23,19,10,7,7,11,72,Starters,584.9,117.0,443.9,88.8,141.0,28.2,0.659,1.93,19.7,0.235,0.691,0.472,14.151,14.2,0.578,0.611,1.0,0.975,21.3,106.5,88.75,106.0,0.652,22025,1610612760,OKC,Oklahoma City Thunder,0022500470,2025-12-31,OKC vs. POR,W,242,124,44,90,0.489,16,49,0.327,20,26,0.769,5,36,41,29,15,10,14,18,29.0
