OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
New York Knicks,0022500303,1610612761,Toronto,Raptors,TOR,raptors,130:54,23,53,0.434,11,28,0.393,5,10,0.5,3,10,13,17,1,4,12,8,62,Starters,484.5,96.9,591.8,118.4,-107.3,-21.5,0.73,1.5,19.3,0.309,0.528,0.417,18.557,18.6,0.483,0.492,1.0,1.0,19.5,97.5,81.25,97.0,0.396,22025,1610612761,TOR,Toronto Raptors,0022500303,2025-11-30,TOR @ NYK,L,241,94,37,88,0.42,11,37,0.297,9,17,0.529,14,26,40,27,9,6,18,15,-22.0
Portland Trail Blazers,0022500319,1610612761,Toronto,Raptors,TOR,raptors,152:23,32,58,0.552,10,20,0.5,12,17,0.706,5,22,27,23,2,2,15,16,86,Starters,593.1,118.6,567.3,113.5,25.8,5.2,0.688,1.83,22.1,0.292,0.729,0.51,17.647,17.6,0.594,0.61,1.0,1.0,20.6,103.0,85.83,102.0,0.528,22025,1610612761,TOR,Toronto Raptors,0022500319,2025-12-02,TOR vs. POR,W,240,121,48,90,0.533,11,30,0.367,14,21,0.667,10,33,43,33,10,3,18,28,3.0
Los Angeles Lakers,0022500336,1610612761,Toronto,Raptors,TOR,raptors,165:54,33,71,0.465,10,30,0.333,10,13,0.769,11,19,30,28,6,6,11,7,86,Starters,638.3,127.7,661.3,132.3,-23.0,-4.6,0.886,2.6,25.2,0.468,0.609,0.538,15.957,16.0,0.579,0.611,1.0,0.966,18.7,93.5,77.92,94.0,0.516,22025,1610612761,TOR,Toronto Raptors,0022500336,2025-12-04,TOR vs. LAL,L,240,120,44,89,0.494,15,37,0.405,17,21,0.81,14,27,41,39,9,8,15,20,-3.0
Charlotte Hornets,0022500344,1610612761,Toronto,Raptors,TOR,raptors,138:10,22,62,0.355,6,19,0.316,8,11,0.727,4,22,26,14,7,2,13,16,58,Starters,417.5,83.5,538.8,107.8,-121.4,-24.3,0.559,0.95,13.7,0.283,0.707,0.455,19.417,19.4,0.418,0.44,1.0,0.975,20.6,103.0,85.83,103.0,0.303,22025,1610612761,TOR,Toronto Raptors,0022500344,2025-12-05,TOR vs. CHA,L,241,86,34,92,0.37,9,29,0.31,9,13,0.692,12,29,41,19,12,4,19,25,-25.0
Boston Celtics,0022500358,1610612761,Toronto,Raptors,TOR,raptors,140:30,25,52,0.481,4,13,0.308,15,18,0.833,3,17,20,17,2,1,8,7,69,Starters,588.5,117.7,630.2,126.0,-41.7,-8.3,0.512,1.69,16.4,0.348,0.688,0.521,13.542,13.5,0.54,0.581,1.0,0.973,19.2,96.0,80.0,96.0,0.475,22025,1610612761,TOR,Toronto Raptors,0022500358,2025-12-07,TOR vs. BOS,L,237,113,43,88,0.489,9,22,0.409,18,21,0.857,11,31,42,22,5,3,12,18,-8.0
New York Knicks,0022501202,1610612761,Toronto,Raptors,TOR,raptors,160:04,29,62,0.468,8,23,0.348,9,13,0.692,6,21,27,22,8,1,8,14,75,Starters,537.2,107.4,622.3,124.5,-85.1,-17.0,0.718,2.0,19.7,0.357,0.651,0.485,14.894,14.9,0.494,0.516,1.0,0.965,18.8,94.0,78.33,94.0,0.42,22025,1610612761,TOR,Toronto Raptors,0022501202,2025-12-09,TOR vs. NYK,L,241,101,39,90,0.433,11,38,0.289,12,18,0.667,12,25,37,28,9,4,13,22,-16.0
Miami Heat,0022501227,1610612761,Toronto,Raptors,TOR,raptors,155:43,29,57,0.509,10,22,0.455,5,7,0.714,8,23,31,19,4,5,15,12,73,Starters,535.4,107.1,480.0,96.0,55.4,11.1,0.786,1.57,22.8,0.265,0.712,0.495,21.212,21.2,0.568,0.576,1.0,0.973,19.9,99.5,82.92,99.0,0.546,22025,1610612761,TOR,Toronto Raptors,0022501227,2025-12-15,TOR @ MIA,W,240,106,42,88,0.477,16,40,0.4,6,9,0.667,11,34,45,33,9,7,19,20,10.0
Milwaukee Bucks,0022500374,1610612761,Toronto,Raptors,TOR,raptors,156:53,34,62,0.548,10,22,0.455,12,17,0.706,11,23,34,18,7,2,11,10,90,Starters,572.2,114.4,541.2,108.2,30.9,6.2,0.738,1.82,21.4,0.354,0.745,0.547,17.526,17.5,0.577,0.595,1.0,0.965,19.4,97.0,80.83,97.0,0.534,22025,1610612761,TOR,Toronto Raptors,0022500374,2025-12-18,TOR @ MIL,W,238,111,42,84,0.5,13,35,0.371,14,21,0.667,12,33,45,31,9,2,16,20,6.0
Boston Celtics,0022500388,1610612761,Toronto,Raptors,TOR,raptors,156:46,26,62,0.419,11,31,0.355,6,7,0.857,5,20,25,22,1,5,10,11,69,Starters,516.1,103.2,622.2,124.4,-106.1,-21.2,0.833,2.5,21.7,0.283,0.585,0.434,12.903,12.9,0.506,0.523,1.0,0.954,18.3,91.5,76.25,93.0,0.436,22025,1610612761,TOR,Toronto Raptors,0022500388,2025-12-20,TOR vs. BOS,L,240,96,36,87,0.414,16,47,0.34,8,11,0.727,9,28,37,30,2,7,12,18,-16.0
Brooklyn Nets,0022500397,1610612761,Toronto,Raptors,TOR,raptors,126:08,19,51,0.373,7,23,0.304,6,6,1.0,2,17,19,14,2,4,9,10,51,Starters,413.3,82.7,494.8,99.0,-81.6,-16.3,0.719,1.53,17.4,0.2,0.767,0.449,15.306,15.3,0.43,0.452,1.0,0.963,19.5,97.5,81.25,98.0,0.377,22025,1610612761,TOR,Toronto Raptors,0022500397,2025-12-21,TOR @ BKN,L,240,81,32,86,0.372,10,36,0.278,7,8,0.875,9,30,39,23,6,5,15,19,-15.0
Miami Heat,0022500414,1610612761,Toronto,Raptors,TOR,raptors,149:19,27,58,0.466,8,24,0.333,14,15,0.933,5,25,30,21,2,3,8,7,76,Starters,595.7,119.1,478.9,95.8,116.8,23.4,0.707,1.71,20.7,0.362,0.706,0.541,18.085,18.1,0.558,0.596,1.0,0.982,18.9,94.5,78.75,94.0,0.627,22025,1610612761,TOR,Toronto Raptors,0022500414,2025-12-23,TOR @ MIA,W,239,112,41,86,0.477,14,38,0.368,16,18,0.889,15,35,50,29,12,5,16,19,21.0
