OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Chicago Bulls,22500314,1610612753,Orlando,Magic,ORL,magic,147:54,32,60,0.533,6,24,0.25,19,21,0.905,8,16,24,13,10,4,12,12,89,Starters,584.1,116.8,560.7,112.1,23.4,4.7,0.556,1.39,17.0,0.313,0.729,0.521,16.822,16.8,0.563,0.61,1.0,0.975,21.4,107.0,89.17,107.0,0.54,22025,1610612753,ORL,Orlando Magic,0022500314,2025-12-01,ORL vs. CHI,W,239,125,45,88,0.511,9,33,0.273,26,33,0.788,12,34,46,25,12,11,17,16,5.0
San Antonio Spurs,22500326,1610612753,Orlando,Magic,ORL,magic,155:08,32,71,0.451,8,22,0.364,8,11,0.727,3,21,24,18,8,2,4,11,80,Starters,523.4,104.7,542.9,108.6,-19.5,-3.9,0.6,2.7,18.0,0.293,0.741,0.509,9.346,9.3,0.5,0.522,1.0,0.959,21.2,106.0,88.33,107.0,0.534,22025,1610612753,ORL,Orlando Magic,0022500326,2025-12-03,ORL vs. SAS,L,241,112,45,99,0.455,9,27,0.333,13,19,0.684,10,38,48,27,11,3,10,19,-2.0
Miami Heat,22500339,1610612753,Orlando,Magic,ORL,magic,143:12,29,70,0.414,10,27,0.37,7,10,0.7,3,18,21,14,2,2,6,11,75,Starters,524.8,105.0,514.7,102.9,10.0,2.0,0.632,2.4,17.4,0.241,0.848,0.51,9.901,9.9,0.478,0.517,1.0,1.0,20.3,101.5,84.58,101.0,0.473,22025,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,240,106,38,92,0.413,12,34,0.353,18,24,0.75,7,35,42,24,5,3,10,19,1.0
New York Knicks,22500357,1610612753,Orlando,Magic,ORL,magic,130:36,22,54,0.407,8,22,0.364,12,15,0.8,7,13,20,14,4,1,3,11,64,Starters,520.8,104.2,552.1,110.4,-31.3,-6.3,0.639,1.92,16.3,0.377,0.685,0.522,12.5,12.5,0.447,0.478,1.0,0.983,19.2,96.0,80.0,96.0,0.439,22025,1610612753,ORL,Orlando Magic,0022500357,2025-12-07,ORL @ NYK,L,240,100,36,94,0.383,12,42,0.286,16,24,0.667,17,31,48,23,7,4,11,16,-6.0
Miami Heat,22501201,1610612753,Orlando,Magic,ORL,magic,165:59,37,73,0.507,13,27,0.481,12,14,0.857,5,24,29,23,5,3,10,14,99,Starters,573.5,114.7,524.3,104.9,49.3,9.9,0.682,1.76,21.4,0.209,0.796,0.536,16.667,16.7,0.592,0.622,1.0,0.991,20.5,102.5,85.42,102.0,0.537,22025,1610612753,ORL,Orlando Magic,0022501201,2025-12-09,ORL vs. MIA,W,240,117,44,87,0.506,15,32,0.469,14,16,0.875,7,40,47,30,5,6,16,19,9.0
New York Knicks,22501229,1610612753,Orlando,Magic,ORL,magic,174:12,36,76,0.474,7,27,0.259,16,23,0.696,5,25,30,23,7,2,14,15,95,Starters,576.9,115.4,628.6,125.7,-51.6,-10.3,0.622,2.0,18.7,0.345,0.784,0.522,13.462,13.5,0.531,0.556,1.0,1.0,20.9,104.5,87.08,104.0,0.417,22025,1610612753,ORL,Orlando Magic,0022501229,2025-12-13,NYK @ ORL,L,241,120,45,97,0.464,13,42,0.31,17,25,0.68,12,29,41,28,9,3,14,24,-12.0
Denver Nuggets,22500377,1610612753,Orlando,Magic,ORL,magic,160:49,32,67,0.478,7,23,0.304,14,20,0.7,7,21,28,25,4,4,6,11,85,Starters,563.7,112.7,623.8,124.8,-60.0,-12.0,0.698,3.0,20.5,0.259,0.805,0.495,9.804,9.8,0.533,0.561,1.0,0.966,20.3,101.5,84.58,102.0,0.467,22025,1610612753,ORL,Orlando Magic,0022500377,2025-12-18,ORL @ DEN,L,239,115,43,91,0.473,11,33,0.333,18,26,0.692,12,32,44,30,9,6,9,17,-11.0
Utah Jazz,22500393,1610612753,Orlando,Magic,ORL,magic,176:53,33,67,0.493,7,24,0.292,21,29,0.724,5,26,31,21,3,4,10,16,94,Starters,581.8,116.4,577.3,115.5,4.5,0.9,0.681,2.46,20.1,0.309,0.625,0.479,11.818,11.8,0.547,0.579,1.0,0.984,19.92,99.62,83.02,110.0,0.524,22025,1610612753,ORL,Orlando Magic,0022500393,2025-12-20,ORL @ UTA,W,265,128,47,96,0.49,11,37,0.297,23,33,0.697,14,38,52,32,6,9,13,29,1.0
Golden State Warriors,22500407,1610612753,Orlando,Magic,ORL,magic,152:19,28,61,0.459,5,17,0.294,15,20,0.75,6,23,29,19,4,3,10,11,76,Starters,489.9,98.0,606.1,121.2,-116.2,-23.2,0.583,1.17,14.9,0.375,0.681,0.515,18.182,18.2,0.454,0.493,1.0,0.975,19.8,99.0,82.5,99.0,0.368,22025,1610612753,ORL,Orlando Magic,0022500407,2025-12-22,ORL @ GSW,L,240,97,36,87,0.414,7,27,0.259,18,26,0.692,16,32,48,21,8,5,18,21,-23.0
Portland Trail Blazers,22500420,1610612753,Orlando,Magic,ORL,magic,170:16,29,64,0.453,13,25,0.52,16,17,0.941,6,22,28,22,7,4,8,15,87,Starters,555.6,111.1,540.8,108.2,14.7,2.9,0.703,1.73,18.7,0.286,0.667,0.474,15.152,15.2,0.524,0.578,1.0,0.956,19.7,98.5,82.08,99.0,0.509,22025,1610612753,ORL,Orlando Magic,0022500420,2025-12-23,ORL @ POR,W,242,110,37,85,0.435,15,33,0.455,21,23,0.913,10,28,38,26,10,5,14,21,4.0
Charlotte Hornets,22500424,1610612753,Orlando,Magic,ORL,magic,148:13,27,64,0.422,8,24,0.333,14,16,0.875,9,21,30,14,5,4,8,17,76,Starters,535.7,107.1,618.6,123.7,-82.8,-16.6,0.595,2.44,16.1,0.317,0.58,0.436,9.184,9.2,0.457,0.509,1.0,0.974,19.5,97.5,81.25,98.0,0.428,22025,1610612753,ORL,Orlando Magic,0022500424,2025-12-26,ORL vs. CHA,L,239,105,37,93,0.398,11,35,0.314,20,23,0.87,16,26,42,22,7,7,9,25,-15.0
Denver Nuggets,22500433,1610612753,Orlando,Magic,ORL,magic,164:42,35,68,0.515,8,19,0.421,14,22,0.636,7,14,21,27,2,0,5,18,92,Starters,635.0,127.0,630.0,126.0,5.0,1.0,0.696,5.33,22.2,0.245,0.605,0.413,6.0,6.0,0.573,0.603,1.0,0.982,20.0,100.0,83.33,100.0,0.488,22025,1610612753,ORL,Orlando Magic,0022500433,2025-12-27,ORL vs. DEN,W,239,127,46,89,0.517,10,29,0.345,25,37,0.676,9,26,35,32,8,0,6,25,1.0
Toronto Raptors,22500451,1610612753,Orlando,Magic,ORL,magic,159:51,32,74,0.432,8,26,0.308,15,16,0.938,9,25,34,20,3,3,7,13,87,Starters,557.9,111.6,563.2,112.6,-5.3,-1.1,0.676,3.13,18.1,0.316,0.615,0.475,8.421,8.4,0.456,0.515,1.0,0.982,19.0,95.0,79.17,95.0,0.505,22025,1610612753,ORL,Orlando Magic,0022500451,2025-12-29,ORL @ TOR,L,240,106,37,91,0.407,9,32,0.281,23,27,0.852,15,37,52,25,4,5,8,24,-1.0
