PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN
Sidy Cissoko,1610612757,POR,50,22.3
Simone Fontecchio,1610612748,MIA,53,17.6
Sion James,1610612766,CHA,55,23.9
Skal Labissiere,1610612764,WAS,3,12.5
Spencer Jones,1610612743,DEN,46,23.6
Stanley Umude,1610612759,SAS,1,2.2
Stephen Curry,1610612744,GSW,39,31.3
Stephon Castle,1610612759,SAS,44,30.2
Steven Adams,1610612745,HOU,32,22.8
Svi Mykhailiuk,1610612762,UTA,45,23.8
T.J. McConnell,1610612754,IND,40,17.0
Taelon Peter,1610612754,IND,24,8.1
Tari Eason,1610612745,HOU,31,25.4
Taurean Prince,1610612749,MIL,8,21.1
Taylor Hendricks,1610612763,MEM,37,15.7
Terance Mann,1610612751,BKN,46,25.3
Terrence Shannon Jr.,1610612750,MIN,22,12.8
Thanasis Antetokounmpo,1610612749,MIL,19,3.0
Thomas Bryant,1610612739,CLE,39,10.5
Tidjane Salaün,1610612766,CHA,32,16.0
Tim Hardaway Jr.,1610612743,DEN,54,27.5
Tobias Harris,1610612765,DET,37,27.9
Tolu Smith,1610612765,DET,6,11.7
Tony Bradley,1610612754,IND,38,11.0
Tosan Evbuomwan,1610612766,CHA,5,1.5
Toumani Camara,1610612757,POR,56,33.5
Trae Young,1610612764,WAS,10,28.0
Trayce Jackson-Davis,1610612761,TOR,38,11.5
Tre Johnson,1610612764,WAS,40,25.0
Tre Jones,1610612741,CHI,38,26.9
Tre Mann,1610612766,CHA,34,16.0
Trendon Watford,1610612755,PHI,32,16.6
Trentyn Flowers,1610612741,CHI,2,2.8
Trey Alexander,1610612740,NOP,5,8.3
Trey Jemison III,1610612752,NYK,10,5.7
Trey Murphy III,1610612740,NOP,52,35.6
Tristan Enaruna,1610612739,CLE,3,4.9
Tristan Vukcevic,1610612764,WAS,33,11.9
Tristan da Silva,1610612753,ORL,48,22.3
Ty Jerome,1610612763,MEM,6,20.2
TyTy Washington Jr.,1610612746,LAC,5,7.9
Tyler Herro,1610612748,MIA,11,31.7
Tyler Kolek,1610612752,NYK,48,13.3
Tyrese Martin,1610612751,BKN,37,18.8
Tyrese Maxey,1610612755,PHI,52,38.6
Tyrese Proctor,1610612739,CLE,39,10.4
Tyson Etienne,1610612751,BKN,8,4.3
Tyus Jones,1610612742,DAL,51,15.8
VJ Edgecombe,1610612755,PHI,50,35.4
Victor Wembanyama,1610612759,SAS,40,29.0
Vince Williams Jr.,1610612762,UTA,38,20.8
Vladislav Goldin,1610612748,MIA,2,4.1
Vít Krejčí,1610612757,POR,52,22.3
Walker Kessler,1610612762,UTA,5,30.8
Walter Clayton Jr.,1610612763,MEM,47,18.3
Wendell Carter Jr.,1610612753,ORL,51,29.5
Wendell Moore Jr.,1610612765,DET,5,10.9
Will Richard,1610612744,GSW,49,19.1
Will Riley,1610612764,WAS,45,16.6
Xavier Tillman,1610612766,CHA,15,7.5
Yang Hansen,1610612757,POR,34,7.5
Yanic Konan Niederhäuser,1610612746,LAC,34,9.0
Yuki Kawamura,1610612741,CHI,4,19.0
Yves Missi,1610612740,NOP,47,19.3
Zaccharie Risacher,1610612737,ATL,42,24.2
Zach Collins,1610612741,CHI,10,18.4
Zach Edey,1610612763,MEM,11,25.8
Zach LaVine,1610612758,SAC,39,31.4
Zeke Nnaji,1610612743,DEN,39,12.8
Ziaire Williams,1610612751,BKN,38,23.0
Zion Williamson,1610612740,NOP,40,29.7
